Curriculum,Astronomy,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Institution,University of Arizona,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,40.0201,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First Year Composition,ENGL ,101,,,,3,,,1
2,Tier 1 Gen Ed,,,,,,3,,,1
3,Calculus I,MATH,125,,,,3,,,1
4,Tier 1 Gen Ed,,,,,,3,,,1
5,A Seminar in Astronomical Problem Solving,ASTR ,196,,,,1,,,1
6,Introduction to Computer Programming I ,CSC ,110,,,,4,,,1
7,Introductory Mechanics ,PHYS ,141,3,,,4,,,2
8,First Year Composition II,ENGL ,102,1,,,3,,,2
9,Calculus II,MATH,129,3,,,3,,,2
10,Tier 1 Gen Ed,,,,,,3,,,2
11,Tier 1 Gen Ed,,,,,,3,,,2
12,Fundamentals of Astronomy,ASTR ,250,3;7;9,,,3,,,3
13,Vector Calculus,MATH,223,9,,,4,,,3
14,Introductory Optics and Thermodynamics,PHYS,162H,7;9,,,4,,,3
15,Second Language ,,,,,,3,,,3
16,Topics in Astronomical Research,ASTR ,296A,,,,1,,,4
17,Introduction to Ordinary Differential Equations,MATH,254,9,,,3,,,4
18,Introductory Electricity and Magnetism,PHYS,261H,7;9,,,4,,,4
19, Introductory Relativity and Quantum Physics,PHYS,263H,14;17,18,,3,,,4
20,Second Language ,,,,,,3,,,4
21,Astronomy and Astrophysics I,ASTR ,300A,12:17;18;19,,,3,,,5
22,Mathematical Techniques in Physics ,PHYS,204,13;14,17,,3,,,5
23,Theoretical Mechanics,PHYS,321,13;14;18,17;22,,3,,,5
24,Tier 2 Gen Ed,,,,,,3,,,5
25,Tier 2 Gen Ed,,,,,,3,,,5
26,Astronomy and Astrophysics II,ASTR ,300B,21,,,3,,,6
27,Introduction to Observational  Astronomy,ASTR ,302,6;9;12;14,,28;29,3,,,6
28,Electricity and Magnetism ,PHYS,331,13;18;22,23,,3,,,6
29,Quantum Theory ,PHYS,371,19;22;23,,,3,,,6
30,Astr Directed Research,ASTR ,49x,,,,1,,,6
31,Tier 2 Gen Ed,,,,,,3,,,6
32,Theoretical Astrophysics ,ASTR ,400A,17,,,3,,,7
33,Computational Physics ,PHYS,305,14;18,17,,3,,,7
34,Astr Directed Research,ASTR ,49x,,,,1,,,7
35,Elective ,,,,,,3,,,7
36,Elective ,,,,,,3,,,7
37,Elective ,,,,,,3,,,7
38,Theoretical Astrophysics ,ASTR ,400B,17,,,3,,,8
39,Thermal Physics ,PHYS,426,28;29;33,,,3,,,8
40,Astr Directed Research,ASTR ,49x,,,,1,,,8
41,Elective ,,,,,,3,,,8
42,Elective ,,,,,,3,,,8
43,Elective ,,,,,,3,,,8
