Curriculum,Chemistry,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.2101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,General Chemistry I,CHEM,151,,,,4,,,1
2,MATH 122A,,,,,,1,,,1
3,MATH 122B,,,,,,4,,,1
4,English Composition,ENGL,101,,,,3,,,1
5,Tier I General Education,,,,,,3,,,1
6,General Chemistry II,CHEM,152,,,,4,,,2
7,Calculus II,MATH,129,,,,3,,,2
8,English Composition II,ENGL,102,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Organic Chemistry I,CHEM,246A,,,,3,,,3
11,Organic Chemistry I Lab,CHEM,247A,,,,2,,,3
12,or MATH 223,CHEM,380,,,,3,,,3
13,Introductory Mechanics,PHYS,141,,,,4,,,3
14,First Semester Second Language,,,,,,4,,,3
15,Organic Chemistry II,CHEM,246B,,,,3,,,4
16,Organic Chemistry II Lab,CHEM,247B,,,,2,,,4
17,(Optional, but recommended),CHEM,395A,,,,1,,,4
18,Physics II w/lab,PHYS,241,,,,4,,,4
19,Second Semester Second Language,,,,,,4,,,4
20,Tier I General Education,,,,,,3,,,4
21,Physical Chemistry I,CHEM,480A,,,,3,,,5
22,Chem Electives,,,,,,3,,,5
23,Third Semester Second Language,,,,,,4,,,5
24,Tier I General Education,,,,,,3,,,5
25,Elective,,,,,,3,,,5
26,Physical Chemistry II or CHEM 481,CHEM,480B,,,,3,,,6
27,Chem Electives,,,,,,3,,,6
28,Fourth Semester Second Language,,,,,,4,,,6
29,Tier II General Education,,,,,,3,,,6
30,Chem Electives,,,,,,3,,,7
31,Tier II General Education,,,,,,3,,,7
32,Elective,,,,,,3,,,7
33,Elective,,,,,,3,,,7
34,Chem Electives,,,,,,3,,,8
35,Tier II General Education,,,,,,3,,,8
36,Elective,,,,,,3,,,8
37,Elective,,,,,,3,,,8
