Curriculum,Chemistry,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.2101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,General Chemistry I,CHEM,151,,,,4,,,1
2,MATH 122A,,,,,,1,,,1
3,MATH 122B,,,,,,4,,,1
4,English Composition,ENGL,101,,,,3,,,1
5,Tier I General Education,,,,,,3,,,1
6,General Chemistry II,CHEM,152,,,,4,,,2
7,Calculus II,MATH,129,,,,3,,,2
8,English Composition II,ENGL,102,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Organic Chemistry I Lecture,CHEM,246A,,,,3,,,3
11,Organic Chemistry I Lab,CHEM,247A,,,,2,,,3
12,Introductory Mechanics w/ lab,PHYS,141,,,,4,,,3
13,Second language,,,,,,4,,,3
14,or MATH 223 Calculus III,CHEM,380,,,,4,,,3
15,Tier I General Education,,,,,,3,,,3
16,Organic Chemistry II Lecture,CHEM,246B,,,,3,,,4
17,Organic Chemistry II Lab,CHEM,247B,,,,2,,,4
18,Introductory Electricity & Magnetism w/ Lab,PHYS,241,,,,4,,,4
19,Majors Colloqium,CHEM,395A,,,,1,,,4
20,Second language,,,,,,4,,,4
21,Tier I General Education,,,,,,3,,,4
22,Biochemistry I,BIOC,462A,,,,4,,,5
23,Analytical Chemistry Lecture,CHEM,325,,,,2,,,5
24,Analtical Chemistry Lab,CHEM,326,,,,2,,,5
25,Elective,,,,,,3,,,5
26,Instrumental Analysis,CHEM,401A,,,,3,,,6
27,Inorganic Chemistry,CHEM,404A,,,,3,,,6
28,CHEM Elective,,,,,,3,,,6
29,Tier II General Education,,,,,,3,,,6
30,Elective,,,,,,3,,,6
31,Physical Chemistry I,CHEM,480A,,,,3,,,7
32,Instrumental Analysis Lab,CHEM,400A,,,,3,,,7
33,Tier II General Education,,,,,,3,,,7
34,CHEM Elective,,,,,,3,,,7
35,Elective,,,,,,3,,,7
36,Physical Chemistry II or CHEM 481 Biophysical Chemistry,CHEM,480B,,,,3,,,8
37,Chemical Measurements Lab,CHEM,400B,,,,3,,,8
38,Inorganic Preparation Lab,CHEM,412,,,,3,,,8
39,CHEM Elective,,,,,,3,,,8
40,Tier II General Education,,,,,,3,,,8
