Curriculum,Computer Science,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.2101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Introduction to Computer Programming I,CSC,110,,,,4,,,1
2,Pre-Calculus,MATH,120R,,,,4,,,1
3,1st Semester Second Language,,,,,,4,,,1
4,English Composition I,ENGL,101,,,,3,,,1
5,Introduction to Computer Programming II,CSC,120,,,,4,,,2
6,Calculus I,MATH,122A/B,,,,5,,,2
7,2nd Semester Second Language,,,,,,4,,,2
8,English Composition II,ENGL,102,,,,3,,,2
9,Software Development,CSC,210,,,,4,,,3
10,Introduction to Discrete Structures,CSC,245,,,,4,,,3
11,Calculus II,MATH,129,,,,3,,,3
12,Tier I General Education,,,,,,3,,,3
13,Computer Organization,CSC,252,,,,3,,,4
14,Systems Programming & Unix,CSC,352,,,,3,,,4
15,Supporting Science,,,,,,4,,,4
16,Tier I General Education,,,,,,3,,,4
17,Tier I General Education,,,,,,3,,,4
18,Object-Oriented Programming,CSC,335,,,,4,,,5
19,Analysis of Discrete Structures,CSC,345,,,,4,,,5
20,Supporting Science,,,,,,4,,,5
21,Tier I General Education,,,,,,3,,,5
22,CSC Paradigms Elective Area,,,,,,3,,,6
23,Elective,CSC,400-Level,,,,3,,,6
24,Tier II General Education,,,,,,3,,,6
25,Tier II General Education,,,,,,3,,,6
26,Elective,,,,,,3,,,6
27,CSC Theory & Writing Elective Area,,,,,,3,,,7
28,Elective,CSC,400-Level,,,,3,,,7
29,Tier II General Education,,,,,,3,,,7
30,Elective,,,,,,3,,,7
31,Elective,,,,,,3,,,7
32,CSC Systems Elective Area,,,,,,4,,,8
33,Upper-Division Elective,,,,,,3,,,8
34,Upper-Division Elective,,,,,,3,,,8
35,Upper-Division Elective,,,,,,3,,,8
36,Elective,,,,,,3,,,8
