Curriculum,Ecology and Evolutionary Biology,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.2101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Functions for Calculus,MATH,122A,,,,1,,,1
2,First-Semester Calculus,MATH,122B,,,,4,,,1
3,General Chemistry,CHEM,151,,,,4,,,1
4,First-Year Composition,ENGL,101,,,,3,,,1
5,Second Language (101),,,,,,4,,,1
6,General Chemistry II,CHEM,152,,,,4,,,2
7,Intro Biology II,ECOL,182R,,,,3,,,2
8,Intro Lab II,ECOL,182L,,,,1,,,2
9,First-Year Composition II,ENGL,102,,,,3,,,2
10,Second Language (102),,,,,,4,,,2
11,Intro Biology,MCB,181R,,,,3,,,3
12,Intro Lab I,MCB,181L,,,,1,,,3
13,Intro Physics I,PHYS,102,,,,3,,,3
14,Second Language (201),,,,,,4,,,3
15,Tier I General Education,,,,,,3,,,3
16,200 level ECOL course,,,,,,3,,,4
17,Intro Physics II,PHYS,103,,,,3,,,4
18,Major elective (Ecology, Evolution & Behavior),,,,,,4,,,4
19,Second Language (202),,,,,,4,,,4
20,Tier I General Education,,,,,,3,,,4
21,Genetics,ECOL,320,,,,4,,,5
22,Major elective (Biology of Organisms),,,,,,4,,,5
23,Tier I General Education,,,,,,3,,,5
24,Tier I General Education,,,,,,3,,,5
25,Elective or minor course,,,,,,3,,,5
26,Evolutionary Biology,ECOL,335,,,,4,,,6
27,Major elective (Biology of Organisms),,,,,,4,,,6
28,Tier II General Education,,,,,,3,,,6
29,Elective or minor course,,,,,,3,,,6
30,Major elective (Ecology, Evolution & Behavior),,,,,,4,,,7
31,Intro to Statistics and Biostatistics,MATH,263,,,,3,,,7
32,Tier II General Education,,,,,,3,,,7
33,Elective or minor course,,,,,,3,,,7
34,Tier II General Education,,,,,,3,,,8
35,Elective or minor course,,,,,,3,,,8
36,Elective or minor course,,,,,,3,,,8
37,Elective or minor course,,,,,,3,,,8
