Curriculum,Ecology and Evolutionary Biology,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.2101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Functions for Calculus,MATH,122A,,,,1,,,1
2,First-Semester Calculus,MATH,122B,,,,4,,,1
3,General Chemistry,CHEM,151,,,,4,,,1
4,First-Year Composition,ENGL,101,,,,3,,,1
5,Tier I General Education,,,,,,3,,,1
6,Calculus II or MATH 263 Intro to Statistics and Biostatistics,MATH,129,,,,3,,,2
7,General Chemistry II,CHEM,152,,,,4,,,2
8,Intro Biology II,ECOL,182R,,,,3,,,2
9,Intro Lab II,ECOL,182L,,,,1,,,2
10,First-Year Composition II,ENGL,102,,,,3,,,2
11,Organic Chemistry Lecture I,CHEM,241A,,,,3,,,3
12,Organic Chemistry Lab I,CHEM,243A,,,,1,,,3
13,Intro Biology,MCB,181R,,,,3,,,3
14,Intro Lab I,MCB,181L,,,,1,,,3
15,Second Language (101),,,,,,4,,,3
16,Tier I General Education,,,,,,3,,,3
17,Organic Chemistry Lecture II,CHEM,241B,,,,3,,,4
18,Organic Chemistry Lab II,CHEM,243B,,,,1,,,4
19,Major elective (Ecology, Evolution & Behavior),,,,,,4,,,4
20,Second Language (102),,,,,,4,,,4
21,Tier I General Education,,,,,,3,,,4
22,Genetics,ECOL,320,,,,4,,,5
23,Tier II General Education,,,,,,3,,,5
24,200 level ECOL course,,,,,,3,,,5
25,Major Elective (Genetics or Cell Biology),,,,,,3,,,5
26,Tier I General Education,,,,,,3,,,5
27,Evolutionary Biology,ECOL,335,,,,4,,,6
28,Additional Physical Science,,,,,,3,,,6
29,Major elective (Biology of Organisms),,,,,,4,,,6
30,Intro Physics I,PHYS,102,,,,3,,,6
31,Intro Lab I,PHYS,181,,,,1,,,6
32,Ecology,ECOL,302,,,,4,,,7
33,Major elective (Biology of Organisms),,,,,,4,,,7
34,Intro Physics II,PHYS,103,,,,3,,,7
35,Intro Lab II,PHYS,182,,,,1,,,7
36,Tier II General Education,,,,,,3,,,7
37,Major elective (Ecology, Evolution & Behavior),,,,,,4,,,8
38,Capstone,,,,,,3,,,8
39,Major elective (Ecology, Evolution & Behavior),,,,,,4,,,8
40,Tier II General Education,,,,,,3,,,8
