Curriculum,Geosciences Earth Ocean and Climate Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.2101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Physical Geology,GEOS,251,,,,4,,,1
2,& 122B Calculus I,MATH,122A,,,,5,,,1
3,ENGL Foundation  Composition 1st Semester,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Historical Geology (recommended),GEOS,255,,,,4,,,2
6,Calculus II,MATH,129,,,,3,,,2
7,CHEM Introductory Chemistry 1st Semester,,,,,,4,,,2
8,ENGL Foundation  Composition 2nd Semester,,,,,,3,,,2
9,CHEM Introductory Chemistry 2nd Semester,,,,,,4,,,2
10,Paleontology,GEOS,308,,,,4,,,3
11,History of the Earth's Climate,GEOS,342,,,,3,,,3
12,PHYS Physics I,,,,,,4,,,3
13,Tier I General Education,,,,,,3,,,3
14,Earth Surface Processes,GEOS,300,,,,3,,,4
15,GEOS Emphasis,,,,,,3,,,4
16,PHYS Physics II,,,,,,4,,,4
17,Tier I General Education,,,,,,3,,,4
18,Elective,,,,,,3,,,4
19,Principles Stratigraphy & Sedimentation,GEOS,302,,,,4,,,5
20,Global Change,GEOS,478,,,,3,,,5
21,Computer Applications,,,,,,3,,,5
22,Tier I General Education,,,,,,3,,,5
23,Ocean Sciences,GEOS,412A,,,,3,,,6
24,Climate Dynamics,GEOS,479,,,,3,,,6
25,Tier II General Education,,,,,,3,,,6
26,Free Elective,,,,,,3,,,6
27,Capstone Experience: Field Camp or Research,,,,,,6,,,6
28,Capstone Experience: Field Camp or Research,,,,,,3,,,7
29,EOC Emphasis,,,,,,3,,,7
30,Tier II General Education,,,,,,3,,,7
31,Elective,,,,,,3,,,7
32,Elective,,,,,,3,,,7
33,EOC Emphasis,,,,,,4,,,8
34,Tier II General Education,,,,,,3,,,8
35,Elective,,,,,,3,,,8
36,Elective,,,,,,2,,,8
