Curriculum,Geosciences Geology Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.2101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Physical Geology,GEOS,251,,,,4,,,1
2,& 122B Calculus I,MATH,122A,,,,5,,,1
3,ENGL Foundation  Composition 1st Semester,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Historical Geology (recommended),GEOS,255,,,,4,,,2
6,Calculus II,MATH,129,,,,3,,,2
7,CHEM Introductory Chemistry 1st Semester,,,,,,4,,,2
8,ENGL Foundation  Composition 2nd Semester,,,,,,3,,,2
9,CHEM Introductory Chemistry 2nd Semester,,,,,,4,,,2
10,Mineralogy,GEOS,306,,,,3,,,3
11,Paleontology,GEOS,308,,,,3,,,3
12,PHYS Physics I,,,,,,4,,,3
13,Tier I General Education,,,,,,3,,,3
14,Earth Surface Processes,GEOS,300,,,,3,,,4
15,Petrology,GEOS,356,,,,4,,,4
16,PHYS Physics II,,,,,,4,,,4
17,Tier I General Education,,,,,,3,,,4
18,Principles Stratigraphy & Sedimentation,GEOS,302,,,,4,,,5
19,MATH: Additional Math,,,,,,3,,,5
20,Computer Applications,,,,,,3,,,5
21,Tier I General Education,,,,,,3,,,5
22,Elective,,,,,,3,,,5
23,Intro to Geophysics,GEOS,322,,,,3,,,6
24,Structural Geology,GEOS,304,,,,4,,,6
25,Elective,,,,,,3,,,6
26,Tier II General Education,,,,,,3,,,6
27,Capstone Experience: Field Camp,,,,,,6,,,6
28,Geology Emphasis,,,,,,3,,,7
29,Geology Emphasis,,,,,,2,,,7
30,Tier II General Education,,,,,,3,,,7
31,Elective,,,,,,3,,,7
32,Geology Emphasis,,,,,,3,,,8
33,Geology Emphasis,,,,,,3,,,8
34,Tier II General Education,,,,,,3,,,8
35,Elective,,,,,,3,,,8
36,Elective,,,,,,2,,,8
