Curriculum,Geosciences Geophysics Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.2101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Physical Geology,GEOS,251,,,,4,,,1
2,& 122B Calculus I,MATH,122A,,,,5,,,1
3,ENGL Foundation  Composition 1st Semester,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Historical Geology (recommended),GEOS,255,,,,4,,,2
6,Calculus II,MATH,129,,,,3,,,2
7,CHEM Introductory Chemistry 1st Semester,,,,,,4,,,2
8,ENGL Foundation  Composition 2nd Semester,,,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Mineralogy,GEOS,306,,,,3,,,3
11,PHYS Physics I,,,,,,4,,,3
12,Vector Calculus,MATH,223,,,,4,,,3
13,Tier I General Education,,,,,,3,,,3
14,Intro to Geophysics,GEOS,322,,,,3,,,4
15,Petrology,GEOS,356,,,,4,,,4
16,PHYS Physics II,,,,,,3,,,4
17,Differential Equations,MATH,254,,,,3,,,4
18,Tier I General Education,,,,,,3,,,4
19,Principles Stratigraphy & Sedimentation,GEOS,302,,,,4,,,5
20,Computer Applications,,,,,,3,,,5
21,MATH 313,,,,,,3,,,5
22,Elective,,,,,,3,,,5
23,Earth Surface Processes,GEOS,300,,,,3,,,6
24,Structural Geology,GEOS,304,,,,4,,,6
25,Physics of the Earth,GEOS,419,,,,3,,,6
26,Math Analysis for Engineers,MATH,322,,,,3,,,6
27,Tier II General Education,,,,,,3,,,6
28,Capstone Experience: Field Camp,,,,,,6,,,6
29,Intro to Seismology,GEOS,432,,,,3,,,7
30,Intro to Exploration Seismology,GEOS,434A,,,,3,,,7
31,Tier II General Education,,,,,,3,,,7
32,Elective,,,,,,3,,,7
33,Geophysics Emphasis,,,,,,3,,,8
34,Geophysics Emphasis,,,,,,2,,,8
35,Tier II General Education,,,,,,3,,,8
36,Elective,,,,,,3,,,8
