Curriculum,Hydrology and Atmospheric Sciences Environmental Hydrology and Water Resources Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.2101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Second Semester Language Course,,,,,,4,,,1
2,Functions for Calculus,MATH,122A-,,,,1,,,1
3,First Semester Calculus,MATH,122B-,,,,4,,,1
4,General Chemistry I,CHEM,151-,,,,4,,,1
5,First-Year Composition,ENGL,101-,,,,3,,,1
6,Tier I General Education,,,,,,3,,,1
7,Calculus II,MATH,129-,,,,3,,,2
8,General Chemistry II,CHEM,152-,,,,4,,,2
9,Physical Geology,GEOS,251-,,,,4,,,2
10,First-Year Composition II,ENGL,102-,,,,3,,,2
11,Vector Calculus,MATH,223-,,,,4,,,3
12,Principles of Hydrology,HWRS,350-,,,,3,,,3
13,Introductory Mechanics,PHYS,141-,,,,4,,,3
14,Tier I General Education,,,,,,3,,,3
15,Tier I General Education,,,,,,3,,,3
16,Mechanics of Fluids,CE,218-,,,,3,,,4
17,Intro to Ordinary Differential Equations,MATH,254-,,,,3,,,4
18,Introductory Optics and Thermodynamics,PHYS,143-,,,,2,,,4
19,Tier I General Education,,,,,,3,,,4
20,Structural Geology,GEOS,304-,,,,4,,,4
21,Hydrogeology,HWRS,431-,,,,4,,,5
22,Intro to Engineering Probability and Statistics,SIE,305-,,,,3,,,5
23,Computer Applications in Hydraulics,CE,427-,,,,3,,,5
24,Tier II General Education,,,,,,3,,,5
25,Computational Elective Theme,,,,,,3,,,5
26,Tech Elective,,,,,,3,,,6
27,Fundamentals of the Atmospheric Sciences,ATMO,436A-,,,,3,,,6
28,Tech Writing & Communication Theme,,,,,,3,,,6
29,Hydrology,CE,423-,,,,3,,,6
30,Field Hydrology Methods,HWRS,413A-,,,,2,,,6
31,Field Hydrology Synthesis,HWRS,413B-,,,,1,,,6
32,Risk Assessment for Environmental Systems,HWRS,443A-,,,,3,,,7
33,Fundamentals of Water Quality,HWRS,417A-,,,,3,,,7
34,Senior Capstone,HWRS,498-,,,,2,,,7
35,Vadose Zone Hydrology,HWRS,405-,,,,3,,,7
36,Tier II General Education,,,,,,3,,,7
37,Tier II General Education,,,,,,3,,,8
38,Statistical Hydrology,HWRS,449-,,,,3,,,8
39,Senior Capstone,HWRS,498-,,,,2,,,8
40,Applied Groundwater Modeling,HWRS,482-,,,,3,,,8
41,Water Policy, Law, or Econ Elective Theme,,,,,,3,,,8
