Curriculum,Biology ,,,,,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,,,,,
Institution,University of Arizona,,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,,
CIP,40.0201,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,,,,
1,General Chemistry ,CHEM ,151,,,,4,,,1,,,,
2,Calculus I,MATH,125,,,,3,,,1,,,,
3,First Year Composition,ENGL ,101,,,,3,,,1,,,,
4,Tier 1 Gen Ed,,,,,,3,,,1,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,First Year Composition,ENGL ,101,,,,3,,,1,,,,
,Tier 1 Gen Ed,,,,,,3,,,1,,,,
,Calculus I,MATH,125,,,,3,,,1,,,,
,Tier 1 Gen Ed,,,,,,3,,,1,,,,
,A Seminar in Astronomical Problem Solving,ASTR ,196,,,,1,,,1,,,,
,Introduction to Computer Programming I ,CSC ,110,,,,4,,,1,,,,
,Introductory Mechanics ,PHYS ,141,3,,,4,,,2,,,,
,First Year Composition II,ENGL ,102,1,,,3,,,2,,,,
,Calculus II,MATH,129,3,,,3,,,2,,,,
,Tier 1 Gen Ed,,,,,,3,,,2,,,,
,Tier 1 Gen Ed,,,,,,3,,,2,,,,
,Fundamentals of Astronomy,ASTR ,250,3,7,9,,,3,,,3,,
,Vector Calculus,MATH,223,9,,,4,,,3,,,,
,Introductory Optics and Thermodynamics,PHYS,162H,7,9,,,4,,,3,,,
,Second Language ,,,,,,3,,,3,,,,
,Topics in Astronomical Research,ASTR ,296A,,,,1,,,4,,,,
,Introduction to Ordinary Differential Equations,MATH,254,9,,,3,,,4,,,,
,Introductory Electricity and Magnetism,PHYS,261H,7,9,,,4,,,4,,,
, Introductory Relativity and Quantum Physics,PHYS,263H,14,17,18,,3,,,4,,,
,Second Language ,,,,,,3,,,4,,,,
,Astronomy and Astrophysics I,ASTR ,300A,12:17,18,19,,,3,,,5,,
,Mathematical Techniques in Physics ,PHYS,204,13,14,17,,3,,,5,,,
,Theoretical Mechanics,PHYS,321,13,14,18,17,22,,3,,,5,
,Tier 2 Gen Ed,,,,,,3,,,5,,,,
,Tier 2 Gen Ed,,,,,,3,,,5,,,,
,Astronomy and Astrophysics II,ASTR ,300B,21,,,3,,,6,,,,
,Introduction to Observational  Astronomy,ASTR ,302,6,9,12,14,,28,29,3,,,6
,Electricity and Magnetism ,PHYS,331,13,18,22,23,,3,,,6,,
,Quantum Theory ,PHYS,371,19,22,23,,,3,,,6,,
,Astr Directed Research,ASTR ,49x,,,,1,,,6,,,,
,Tier 2 Gen Ed,,,,,,3,,,6,,,,
,Theoretical Astrophysics ,ASTR ,400A,17,,,3,,,7,,,,
,Computational Physics ,PHYS,305,14,18,17,,3,,,7,,,
,Astr Directed Research,ASTR ,49x,,,,1,,,7,,,,
,Elective ,,,,,,3,,,7,,,,
,Elective ,,,,,,3,,,7,,,,
,Elective ,,,,,,3,,,7,,,,
,Theoretical Astrophysics ,ASTR ,400B,17,,,3,,,8,,,,
,Thermal Physics ,PHYS,426,28,29,33,,,3,,,8,,
,Astr Directed Research,ASTR ,49x,,,,1,,,8,,,,
,Elective ,,,,,,3,,,8,,,,
,Elective ,,,,,,3,,,8,,,,
,Elective ,,,,,,3,,,8,,,,
