Curriculum,Physics ,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Institution,University of Arizona,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,40.0801,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Intro to Mechanics,PHYS,161H,,,,4,,,1
2,Calculus II,MATH,129,,,,3,,,1
3,First Year Composition,ENGL,101,,,,3,,,1
4,Tier 1 General Education,,,,,,3,,,1
5,Tier 1 General Education,,,,,,3,,,1
6,Introductory Optics and Thermodynamics,PHYS,162H,1;2,,,4,,,2
7,Vector Calculus,MATH,223,1,,,4,,,2
8,First Year Composition II,ENGL ,102,3,,,3,,,2
9,Tier 1 Gen Ed,,,,,,3,,,2
10,Tier 1 Gen Ed,,,,,,3,,,2
11,Introduction to Scientific Computing,PHYS,105A,,,,1,,,2
12,Introductory Electricity and Magnetism,PHYS,261H,1;2,,,4,,,3
13,Introduction to Ordinary Differential Equations,MATH,254,2,,,3,,,3
14,Tier 2 Gen Ed,,,,,,3,,,3
15,Elective,,,,,,3,,,3
16,Elective,,,,,,3,,,3
17, Introductory Relativity and Quantum Physics,PHYS,263H,6;13,12,,3,,,4
18,Theoretical Mechanics,PHYS,321,6;7;12,13,,3,,,4
19,Mathematical Techniques in Physics ,PHYS,204,6;7,13,,3,,,4
20,Tier 2 Gen Ed,,,,,,3,,,4
21,Elective,,,,,,3,,,4
22,Computational Physics ,PHYS,305,6;11;12,13,,3,,,5
23,Electricity and Magnetism ,PHYS,331,7;12;19,18,,3,,,5
24,Methods in experimental physics ,PHYS,381,,18;22,,2,,,5
25,Tier 2 Gen Ed,,,,,,3,,,5
26,Elective,,,,,,3,,,5
27,Electricity and Magnetism II,PHYS,332,22;23,,,3,,,6
28,Methods in experimental physics II,PHYS,382,24,,,2,,,6
29,Quantum Theory ,PHYS,371,17;18;19,,,3,,,6
30,Elective,,,,,,3,,,6
31,Elective,,,,,,3,,,6
32,Quantum Theory II,PHYS,472,22;29,,,3,,,7
33,Thermal Physics,PHYS,426,22;23;29,,,3,,,7
34,PHYS research elective,,,,,,3,,,7
35,PHYS elective,,,,,,3,,,7
36,Elective,,,,,,3,,,7
37,PHYS elective,,,,,,3,,,8
38,Elective,,,,,,3,,,8
38,Elective,,,,,,3,,,8
38,Elective,,,,,,3,,,8
38,Elective,,,,,,3,,,8
