Curriculum,Bioinformatics Systems Biology Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.1103,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,General Chemistry 1 ,CHEM,151,,,,4,,,1
2,Calculus 1,MATH,125,,,,3,,,1
3,First Year Composition,ENGL,101,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Seminar in Bioinformatics,ECOL,296B,,,,1,,,1
6,Introduction to Computer Programming I,CSC,110,,,,4,,,2
7,Calculus 2,MATH,129,2,,,3,,,2
8,Second Year Composition ,CSC ,102,3,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,General Chemistry 2,CHEM,152,1,,,4,,,2
11,Lectures in Organic Chemistry ,CHEM,241A,10,,,3,,,3
12,Organic Chemistry Lab 1 ,CHEM,243A,10,11,,1,,,3
13,Introductory Biology 1 ,MCB,181R,,,,3,,,3
14,Introductory Biology Laboratory 1,MCB,181L,,13,,1,,,3
15,Introduction to Statistics and Biostatistics,MATH,263,2,,,3,,,3
16,Introduction to Computer Programming II,CSC,120,6,,,4,,,3
17,Lectures in Organic Chemistry II,CHEM,241B,11,,,3,,,4
18,Organic Chemistry Lab 2,CHEM,243B,12,17,,1,,,4
19,Introductory Biology 2,ECOL,182R,,,,3,,,4
20,Introductory Biology Laboratory 2,ECOL,182L,,19,,1,,,4
21,Introduction to Discrete Structures,CSC,245,16,,,4,,,4
22,Molecular Basis of Life,MCB,301,11;12;13;14,,,4,,,4
23,Tier I General Education,,,,,,3,,,5
24,Essential Computing for the Sciences,CSC ,250,,,,4,,,5
25,Analysis of Discrete Structures ,CSC,345,22,,,4,,,5
26,Molecular Genetics,MCB,304,1;13;14;22,,,4,,,5
27,Major Elective,,,,,,3,,,6
28,Bioinformatics,ECOL,346,26,,,4,,,6
29,Cell and Developmental Biology,MCB,305,2;13;14;17;18;19;20;22;26,,,4,,,6
30,Tier I General Education,,,,,,3,,,6
31,Ecology ,ECOL,302,2;7;13;14,,,4,,,7
32,Second Language,,,,,,4,,,7
33,Tier II General Education,,,,,,3,,,7
34,Tier II General Education,,,,,,3,,,7
35,Evolutionary Biology,ECOL,335,13;14;19;20,,,4,,,8
36,Major Elective,,,,,,4,,,8
37,Tier II General Education,,,,,,3,,,8
38,Second Language,,,,,,4,,,8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
