Curriculum,Chemistry,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,40.0501,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,General Chemistry I,CHEM,151,,,,4,,,1
2,MATH 122A,MATH,122A/B,,,,1,,,1
3,English Composition,ENGL,101,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,General Chemistry II,CHEM,152,1,,,4,,,2
6,Calculus II,MATH,129,2,,,3,,,2
7,English Composition II,ENGL,102,3,,,3,,,2
8,Tier I General Education,,,,,,3,,,2
9,Organic Chemistry I Lecture,CHEM,246A,5,,,3,,,3
10,Organic Chemistry I Lab,CHEM,247A,,9,,2,,,3
11,Introductory Mechanics w/ lab,PHYS,141,,,,4,,,3
12,Second language,,,,,,4,,,3
13,or MATH 223 Calculus III,CHEM,380,6,,,4,,,3
14,Tier I General Education,,,,,,3,,,3
15,Organic Chemistry II Lecture,CHEM,246B,9,,,3,,,4
16,Organic Chemistry II Lab,CHEM,247B,10,,,2,,,4
17,Introductory Electricity & Magnetism w/ Lab,PHYS,241,11,,,4,,,4
18,Majors Colloqium,CHEM,395A,,9,,1,,,4
19,Second language,,,,,,4,,,4
20,Tier I General Education,,,,,,3,,,4
21,Biochemistry I,BIOC,462A,,,,4,,,5
22,Analytical Chemistry Lecture,CHEM,325,5,,,2,,,5
23,Analtical Chemistry Lab,CHEM,326,,22,,2,,,5
24,Elective,,,,,,3,,,5
25,Instrumental Analysis,CHEM,401A,15;16;22,23,,3,,,6
26,Inorganic Chemistry,CHEM,404A,15,,,3,,,6
27,CHEM Elective,,,,,,3,,,6
28,Tier II General Education,,,,,,3,,,6
29,Elective,,,,,,3,,,6
30,Physical Chemistry I,CHEM,480A,5;11;13,,,3,,,7
31,Instrumental Analysis Lab,CHEM,400A,25,,,3,,,7
32,Tier II General Education,,,,,,3,,,7
33,CHEM Elective,,,,,,3,,,7
34,Elective,,,,,,3,,,7
35,Physical Chemistry II or CHEM 481 Biophysical Chemistry,CHEM,480B,5;13;17,,,3,,,8
36,Chemical Measurements Lab,CHEM,400B,30,35,,3,,,8
37,Inorganic Preparation Lab,CHEM,412,,,,3,,,8
38,CHEM Elective,,26,,,,3,,,8
39,Tier II General Education,,,,,,3,,,8
