Curriculum,Ecology and Evolutionary Biology,,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,,
Degree Type,BS,,,,,,,,,,
System Type,semester,,,,,,,,,,
CIP,26.131,,,,,,,,,,
Courses,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,
1,Calculus 1,MATH,125,,,,4,,,1,
2,General Chemistry,CHEM,151,,,,4,,,1,
3,First-Year Composition,ENGL,101,,,,3,,,1,
4,Tier I General Education,,,,,,3,,,1,
5,Calculus II,MATH,129,1,,,3,,,2,
6,General Chemistry II,CHEM,152,1;2,,,4,,,2,
7,Introductory Biology 1,MCB,181R,,,,3,,,2,
8,Introductory Biology lab 1,MCB,181L,7,,,1,,,2,
9,First-Year Composition II,ENGL,102,3,,,3,,,2,
10,Organic Chemistry Lecture I,CHEM,241A,6,,,3,,,3,
11,Organic Chemistry Lab I,CHEM,243A,6,10,,1,,,3,
12,Introductory Biology 2,ECOL,182R,,,,3,,,3,
13,Introductory Biology lab 2,ECOL,182L,,12,,1,,,3,
14,Second Language (101),,,,,,4,,,3,
15,Tier I General Education,,,,,,3,,,3,
16,Organic Chemistry Lecture II,CHEM,241B,10,,,3,,,4,
17,Organic Chemistry Lab II,CHEM,243B,11,16,,1,,,4,
18,Major elective ,,,,,,4,,,4,
19,Second Language (102),,,,,,4,,,4,
20,Tier I General Education,,,,,,3,,,4,
21,Genetics,ECOL,320,7,,,4,,,5,
22,Tier II General Education,,,,,,3,,,5,
23,200 level ECOL course,,,,,,3,,,5,
24,Major Elective (Genetics or Cell Biology),,,,,,3,,,5,
25,Tier I General Education,,,,,,3,,,5,
26,Evolutionary Biology,ECOL,335,7;8;12;13,,,4,,,6,
27,Additional Physical Science,,,,,,3,,,6,
28,Major elective (Biology of Organisms),,,,,,4,,,6,
29,Intro Physics I,PHYS,102,1,,,3,,,6,
30,Intro Lab I,PHYS,181,1,,,1,,,6,
31,Ecology,ECOL,302,1;12;13,,,4,,,7,
32,Major elective (Biology of Organisms),,,,,,4,,,7,
33,Intro Physics II,PHYS,103,29,,,3,,,7,
34,Intro Lab II,PHYS,182,29;30,33,,1,,,7,
35,Tier II General Education,,,,,,3,,,7,
36,Major elective,,,,,,4,,,8,
37,Capstone,,,,,,3,,,8,
38,Major elective ,,,,,,4,,,8,
39,Tier II General Education,,,,,,3,,,8,
40,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
