Curriculum,Hydrology and Atmospheric Sciences Environmental Hydrology and Water Resources Emphasis,,,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,
System Type,semester,,,,,,,,,,,
CIP,40.0605,,,,,,,,,,,
Courses,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,,
1,Second Semester Language Course,,,,,,4,,,1,,
2,Calculus I,MATH,125,,,,4,,,1,,
3,General Chemistry I,CHEM,151,,,,4,,,1,,
4,First-Year Composition,ENGL,101,,,,3,,,1,,
5,Tier I General Education,,,,,,3,,,1,,
6,Calculus II,MATH,129,2,,,3,,,2,,
7,General Chemistry II,CHEM,152,2;3,,,4,,,2,,
8,Physical Geology,GEOS,251,,,,4,,,2,,
9,First-Year Composition II,ENGL,102,4,,,3,,,2,,
10,Vector Calculus,MATH,223,6,,,4,,,3,,
11,Principles of Hydrology,HWRS,350,2,,,3,,,3,,
12,Introductory Mechanics,PHYS,141,2,,,4,,,3,,
13,Tier I General Education,,,,,,3,,,3,,
14,Tier I General Education,,,,,,3,,,3,,
15,Mechanics of Fluids,CE,218,,,,3,,,4,,
16,Intro to Ordinary Differential Equations,MATH,254,6,,,3,,,4,,
17,Introductory Optics and Thermodynamics,PHYS,143,6;12,,,2,,,4,,
18,Tier I General Education,,,,,,3,,,4,,
19,Structural Geology,GEOS,304,8;12,,,4,,,4,,
20,Hydrogeology,HWRS,431,6;8,,,4,,,5,,
21,Intro to Engineering Probability and Statistics,SIE,305,6,,,3,,,5,,
22,Computer Applications in Hydraulics,CE,427,,,,3,,,5,,
23,Tier II General Education,,,,,,3,,,5,,
24,Computational Elective Theme,,,,,,3,,,5,,
25,Tech Elective,,,,,,3,,,6,,
26,Fundamentals of the Atmospheric Sciences,ATMO,436A,10;12,,,3,,,6,,
27,Tech Writing & Communication Theme,,,,,,3,,,6,,
28,Hydrology,CE,423,15,,,3,,,6,,
29,Field Hydrology Methods,HWRS,413A,,,,2,,,6,,
30,Field Hydrology Synthesis,HWRS,413B,,29,,1,,,6,,
31,Risk Assessment for Environmental Systems,HWRS,443A,21,,,3,,,7,,
32,Fundamentals of Water Quality,HWRS,417A,,,,3,,,7,,
33,Senior Capstone,HWRS,498,,,,2,,,7,,
34,Vadose Zone Hydrology,HWRS,405,20,,,3,,,7,,
35,Tier II General Education,,,,,,3,,,7,,
36,Tier II General Education,,,,,,3,,,8,,
37,Statistical Hydrology,HWRS,449,21,,,3,,,8,,
38,Senior Capstone,HWRS,498,2;6,,,2,,,8,,
39,Applied Groundwater Modeling,HWRS,482,,,,3,,,8,,
40,Water Policy law or Econ Elective theme,,,,,,3,,,8,,
41,,,,,,,,,,,,
