Curriculum,Molecular and Cellular Biology Systems and Big Data Biology Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.0406,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,Calculus I,MATH,122A/B,,,,5,,,1
3,General Chemistry I,CHEM,151,,,,4,,,1
4,Tier I General Education,,,,,,3,,,1
5,Colloquium,MCB,195,,,,1,,,1
6,First-Year Composition,ENGL,102,1,,,3,,,2
7,Calculus II or MATH 263 Intro to Stats,MATH,129,2,,,3,,,2
8,General Chemistry II,CHEM,152,3,,,4,,,2
9,Introductory Biology II,ECOL,182R,,,,3,,,2
10,Introductory Biology II Lab,ECOL,182L,,9,,1,,,2
11,Organic Chemistry I,CHEM,241A,8,,,3,,,3
12,Organic Chemistry Lab I,CHEM,243A,8,11,,1,,,3
13,Introductory Biology I,MCB,181R,,,,3,,,3
14,Introductory Biology I Lab,MCB,181L,,13,,1,,,3
15,Vector Calculus,MATH,223,7,,,3,,,3
16,Tier I General Education,,,,,,3,,,3
17,Organic Chemistry II,CHEM,241B,11,,,3,,,4
18,Organic Chemistry II Lab,CHEM,243B,12,,,1,,,4
19,Molecular Basis of Life,MCB,301,9;10;11;12,,,4,,,4
20,Intro to Ordinary Differential Equations or 355 Analysis of Ordinary Differential Equations,MATH,254,7,,,3,,,4
21,Upper Division Free Elective,,,,,,3,,,4
22,Tier I General Education,,,,,,3,,,4
23,Introductory Physics I,PHYS,102,,,,3,,,5
24,Introductory Lab I,PHYS,181,,,,1,,,5
25,Molecular Genetics,MCB,304,9;10,,,4,,,5
26,Quantitative Biology,MCB,315,2,,,3,,,5
27,Applied Linear Algebra or 313 Introduction to Linear Algebra,MATH,310,20,,,3,,,5
28,Tier I General Education,,,,,,3,,,5
29,Introductory Physics II,PHYS,103,23,,,3,,,6
30,Introductory Lab II,PHYS,182,23;24,,,1,,,6
31,Cell and Developmental Biology,MCB,305,19;25,,,4,,,6
32,Introduction to Statistical Methods or 375 Introduction to Numerical Methods,MATH,363,15,27,,3,,,6
33,Big Data in Biology and Biomedicine,MCB,447,2;9;26,,,3,,,6
34,Tier II General Education,,,,,,3,,,6
35,Sub Plan Lab or Thesis I,,,,,,3,,,7
36,Introduction to Systems Biology,MCB,480,7;13;14,,,3,,,7
37,Essential Computing for the Sciences or Free Elective,CSC,250,,,,3,,,7
38,Tier II General Education,,,,,,3,,,7
39,Second Language,,,,,,4,,,7
40,Sub Plan Writing or Thesis II,,,,,,3,,,8
41,Sub-Plan Course,,,,,,3,,,8
42,Tier II General Education,,,,,,3,,,8
43,Upper Division Free Elective,,,,,,3,,,8
44,Second Language,,,,,,4,,,8
