Curriculum,Neuroscience and Cognitive Science Language and Communication Science Emphasis,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,30.2501,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,Second Language,,,,,,4,,,1
3,First-Semester Chemistry,,,,,,4,,,1
4,Calculus I,MATH,122A/B,,,,4,,,1
5,First-Year Composition,ENGL,102,1,,,3,,,2
6,Second Language,,,,,,4,,,2
7,Tier I General Education,,,,,,3,,,2
8,Foundation Focus,,,,,,3,,,2
9,Introductory Biology I,MCB,181R,,,,3,,,3
10,Introductory Biology Laboratory I,MCB,181L,,,,1,,,3
11,Statistics,,,,,,3,,,3
12,Tier I General Education,,,,,,3,,,3
13,Tier I General Education,,,,,,3,,,3
14,Foundation Focus,,,,,,3,,,3
15,Fundamentals of Neuroscience and Cognitive Science,NSCS,200,9,,,3,,,4
16,Tier I General Education,,,,,,3,,,4
17,Consciousness and Cognition,PHIL,241,,,,3,,,4
18,Foundation Focus,,,,,,3,,,4
19,General Elective,,,,,,3,,,4
20,Cellular Neurophysiology,NROS,307,9;10,,,3,,,5
21,Methods in Neuroscience,NSCS,308,15,20,,1,,,5
22,Issues and Themes in Cognitive Science,NSCS,320,15,,,3,,,5
23,Methods in Cognitive Science,NSCS,321,15,,,1,,,5
24,Scientific Programming with MATLAB,NROS,311,,,,3,,,5
25,Tier II General Education,,,,,,3,,,5
26,Upper-Division Focus,,,,,,3,,,6
27,Tier II General Education,,,,,,3,,,6
28,Tier II General Education,,,,,,3,,,6
29,Emphasis Elective,,,,,,3,,,6
30,General Elective,,,,,,3,,,6
31,Introductory Physics,,,,,,4,,,7
32,Tier II General Education,,,,,,3,,,7
33,Emphasis Elective,,,,,,3,,,7
34,Emphasis Elective,,,,,,3,,,7
35,Upper-Division General Elective,,,,,,3,,,7
36,Upper-Division Focus,,,,,,3,,,8
37,Emphasis Elective,,,,,,3,,,8
38,Emphasis Elective,,,,,,3,,,8
39,Upper-Division General Elective,,,,,,3,,,8
40,Upper-Division General Elective,,,,,,3,,,8
